Trade_id,Trade Date,Trade Time,Book,Instrument,Buyer,Seller,Amount (MM),Bond Price,Settlement Date,Settlement Amount,Settlement Currency,Date Edit,Business Day of Edit,Account Edited,Edit Reason,Version Number
trade_1,29/09/16,10:45,ABC1,GB00B1VWPC84,DB,CS,1,107.04,03/10/16,1070.4,GBP,,,,,
trade_2,29/09/16,11:03,ABC1,DE0001141745,CITI,CS,2,102.5,03/10/16,512.5,EUR,,,,,
trade_3,26/09/16,15:02,ABC1,IT0005188120 ,DB,CITI,3,101.59,28/09/16,1219.08,EUR,,,,,
trade_4,26/09/16,10:45,ABC1,GB00B1VWPC84,CS,DB,4,107.24,28/09/16,857.92,GBP,,,,,
trade_5,26/09/16,11:03,ABC1,DE0001141745,CITI,CS,5,102.55,28/09/16,205.1,EUR,,,,,
trade_6,26/09/16,15:02,EFG3,IT0005188120 ,DB,CITI,6,101.69,28/09/16,1525.35,EUR,,,,,
trade_7,29/09/16,10:45,EFG3,GB00B1VWPC84,DB,CS,7,107.14,28/09/16,964.26,GBP,,,,,
trade_8,29/09/16,11:03,EFG3,DE0001141745,BAML,CITI,8,102.85,28/09/16,308.55,EUR,,,,,
trade_9,26/09/16,15:02,XYZ2,IT0005188120 ,CS,DB,9,101.159,28/09/16,202.318,EUR,,,,,
trade_10,26/09/16,10:45,HIJ4,IT0005188120 ,DB,,10,102.5912,27/09/16,820.7296,GBP,,,,,
trade_11,29/09/16,11:03,EFG3,GB00B1VWPC84,CITI,CS,11,102.429,30/09/16,204.858,GBP,,,,,
trade_12,29/09/16,15:02,ABC1,DE0001141745,DB,CITI,12,102.2668,30/09/16,1534.002,EUR,,,,,
trade_13,26/09/16,10:45,ABC1,IT0005188120 ,DB,,13,102.1046,27/09/16,918.9414,EUR,,,,,
trade_14,26/09/16,11:03,EFG3,IT0005188120 ,BAML,CS,14,101.9424,27/09/16,305.8272,GBP,,,,,
trade_15,29/09/16,15:02,ABC1,GB00B1VWPC84,BAML,CITI,15,101.7802,30/09/16,661.5713,EUR,,,,,
trade_16,29/09/16,10:45,EFG3,DE0001141745,DB,BAML,16,101.618,30/09/16,630.0316,EUR,,,,,
trade_17,26/09/16,11:03,ABC1,IT0005188120 ,CITI,DB,17,101.4558,27/09/16,598.58922,EUR,,,,,
trade_18,26/09/16,15:02,EFG3,IT0005188120 ,CITI,BAML,18,101.2936,27/09/16,567.24416,EUR,,,,,
