instrument,buyer,seller,amount,bond_price,settlement_date,version
GB00B1VWPC84,DB,CS,1,107,12345,1
DE0001141745,DB,BAML,40,100,12345,1
GB00B1VWPC84,DB,CS,39,101,12345,1
IT0005188120 ,CITI,BAML,38,101,12345,1
GB00B1VWPC84,DB,CS,119,101,12345,1
GB00B1VWPC84,DB,CS,159,101,12345,1
GB00B1VWPC84,BAML,CITI,35,101,12345,1
IT0005188120 ,BAML,CS,34,101,12345,1
IT0005188120 ,DB,DB,33,102,12345,1
DE0001141745,DB,CITI,32,102,12345,1
GB00B1VWPC84,CITI,CS,31,102,12345,1
IT0005188120 ,DB,DB,30,102,12345,1
IT0005188120 ,CS,DB,29,101,12345,1
DE0001141745,BAML,CITI,28,102,12345,1
GB00B1VWPC84,DB,CS,27,107,12345,1
IT0005188120 ,DB,CITI,26,101,12345,1
DE0001141745,CITI,CS,25,102,12345,1
GB00B1VWPC84,CS,DB,104,107,12345,1
IT0005188120 ,DB,CITI,23,101,12345,1
DE0001141745,CITI,CS,22,102,12345,1
GB00B1VWPC84,DB,CS,19,101,12345,1
GB00B1VWPC84,DB,CS,21,107,12345,1
IT0005188120 ,CITI,BAML,18,101,12345,1
DE0001141745,DB,BAML,20,100,12345,1
GB00B1VWPC84,DB,CS,41,107,12345,1
IT0005188120 ,CITI,DB,17,101,12345,1
DE0001141745,DB,BAML,16,101,12345,1
DE0001141745,CITI,CS,42,102,12345,1
GB00B1VWPC84,BAML,CITI,15,101,12345,1
IT0005188120 ,BAML,CS,14,101,12345,1
IT0005188120 ,DB,CITI,43,101,12345,1
IT0005188120 ,DB,DB,13,102,12345,1
DE0001141745,CITI,CS,45,102,12345,1
IT0005188120 ,DB,CITI,46,101,12345,1
GB00B1VWPC84,DB,CS,47,107,12345,1
DE0001141745,BAML,CITI,48,102,12345,1
IT0005188120 ,CS,DB,49,101,12345,1
IT0005188120 ,DB,DB,50,102,12345,1
GB00B1VWPC84,CITI,CS,51,102,12345,1
DE0001141745,DB,CITI,52,102,12345,1
IT0005188120 ,DB,DB,53,102,12345,1
IT0005188120 ,BAML,CS,54,101,12345,1
GB00B1VWPC84,BAML,CITI,55,101,12345,1
DE0001141745,DB,BAML,56,101,12345,1
IT0005188120 ,CITI,DB,57,101,12345,1
IT0005188120 ,CITI,BAML,58,101,12345,1
GB00B1VWPC84,DB,CS,59,101,12345,1
DE0001141745,DB,BAML,60,100,12345,1
GB00B1VWPC84,DB,CS,61,107,12345,1
DE0001141745,CITI,CS,62,102,12345,1
IT0005188120 ,DB,CITI,63,101,12345,1
GB00B1VWPC84,CS,DB,64,107,12345,1
DE0001141745,CITI,CS,65,102,12345,1
IT0005188120 ,DB,CITI,66,101,12345,1
GB00B1VWPC84,DB,CS,67,107,12345,1
DE0001141745,BAML,CITI,68,102,12345,1
IT0005188120 ,CS,DB,69,101,12345,1
IT0005188120 ,DB,DB,70,102,12345,1
GB00B1VWPC84,CITI,CS,71,102,12345,1
DE0001141745,DB,CITI,72,102,12345,1
IT0005188120 ,DB,DB,73,102,12345,1
IT0005188120 ,BAML,CS,74,101,12345,1
GB00B1VWPC84,BAML,CITI,75,101,12345,1
DE0001141745,DB,BAML,76,101,12345,1
IT0005188120 ,CITI,BAML,78,101,12345,1
DE0001141745,DB,CITI,12,102,12345,1
GB00B1VWPC84,DB,CS,79,101,12345,1
GB00B1VWPC84,CITI,CS,11,102,12345,1
DE0001141745,DB,BAML,80,100,12345,1
IT0005188120 ,CS,DB,9,101,12345,1
IT0005188120 ,DB,DB,10,102,12345,1
GB00B1VWPC84,DB,CS,81,107,12345,1
DE0001141745,BAML,CITI,8,102,12345,1
DE0001141745,CITI,CS,82,102,12345,1
GB00B1VWPC84,DB,CS,7,107,12345,1
IT0005188120 ,DB,CITI,83,101,12345,1
IT0005188120 ,DB,CITI,6,101,12345,1
GB00B1VWPC84,CS,DB,84,107,12345,1
DE0001141745,CITI,CS,5,102,12345,1
DE0001141745,CITI,CS,85,102,12345,1
GB00B1VWPC84,CS,DB,4,107,12345,1
IT0005188120 ,DB,CITI,3,101,12345,1
IT0005188120 ,DB,CITI,86,101,12345,1
GB00B1VWPC84,DB,CS,87,107,12345,1
DE0001141745,CITI,CS,2,102,12345,1
DE0001141745,BAML,CITI,88,102,12345,1
GB00B1VWPC84,CS,DB,44,107,12345,1
IT0005188120 ,CS,DB,89,101,12345,1
IT0005188120 ,DB,CS,90,102,12345,1
GB00B1VWPC84,CITI,CS,91,102,12345,1
DE0001141745,DB,CITI,92,102,12345,1
IT0005188120 ,DB,CS,93,102,12345,1
IT0005188120 ,BAML,CS,94,101,12345,1
GB00B1VWPC84,BAML,CITI,95,101,12345,1
DE0001141745,DB,BAML,96,101,12345,1
IT0005188120 ,CITI,DB,97,101,12345,1
IT0005188120 ,CITI,BAML,98,101,12345,1
GB00B1VWPC84,DB,CS,99,101,12345,1
GB00B1VWPC84,CS,DB,24,107,12345,1
IT0005188120 ,CITI,DB,77,101,12345,1
DE0001141745,DB,BAML,100,100,12345,1
GB00B1VWPC84,DB,CS,101,107,12345,1
DE0001141745,CITI,CS,102,102,12345,1
IT0005188120 ,DB,CITI,103,101,12345,1
GB00B1VWPC84,BAML,CITI,175,101,12345,1
DE0001141745,CITI,CS,105,102,12345,1
IT0005188120 ,DB,CITI,106,101,12345,1
GB00B1VWPC84,DB,CS,107,107,12345,1
DE0001141745,BAML,CITI,108,102,12345,1
IT0005188120 ,CS,DB,109,101,12345,1
GB00B1VWPC84,CITI,CS,111,102,12345,1
DE0001141745,DB,CITI,112,102,12345,1
IT0005188120 ,DB,CS,113,102,12345,1
IT0005188120 ,BAML,CS,114,101,12345,1
GB00B1VWPC84,BAML,CITI,115,101,12345,1
DE0001141745,DB,BAML,116,101,12345,1
IT0005188120 ,CITI,DB,117,101,12345,1
IT0005188120 ,CITI,BAML,118,101,12345,1
IT0005188120 ,DB,CS,110,102,12345,1
IT0005188120 ,CITI,DB,37,101,12345,1
DE0001141745,DB,BAML,120,100,12345,1
GB00B1VWPC84,DB,CS,121,107,12345,1
DE0001141745,CITI,CS,122,102,12345,1
IT0005188120 ,DB,CITI,123,101,12345,1
GB00B1VWPC84,CS,DB,124,107,12345,1
DE0001141745,CITI,CS,125,102,12345,1
IT0005188120 ,DB,CITI,126,101,12345,1
GB00B1VWPC84,DB,CS,127,107,12345,1
DE0001141745,BAML,CITI,128,102,12345,1
IT0005188120 ,CS,DB,129,101,12345,1
IT0005188120 ,DB,CS,130,102,12345,1
DE0001141745,DB,CITI,132,102,12345,1
IT0005188120 ,DB,CS,133,102,12345,1
IT0005188120 ,BAML,CS,134,101,12345,1
GB00B1VWPC84,BAML,CITI,135,101,12345,1
DE0001141745,DB,BAML,136,101,12345,1
IT0005188120 ,CITI,DB,137,101,12345,1
IT0005188120 ,CITI,BAML,138,101,12345,1
GB00B1VWPC84,DB,CS,139,101,12345,1
DE0001141745,DB,BAML,140,100,12345,1
GB00B1VWPC84,DB,CS,141,107,12345,1
DE0001141745,CITI,CS,142,102,12345,1
IT0005188120 ,DB,CITI,143,101,12345,1
GB00B1VWPC84,CS,DB,144,107,12345,1
DE0001141745,CITI,CS,145,102,12345,1
IT0005188120 ,DB,CITI,146,101,12345,1
GB00B1VWPC84,DB,CS,147,107,12345,1
DE0001141745,BAML,CITI,148,102,12345,1
IT0005188120 ,CS,DB,149,101,12345,1
IT0005188120 ,DB,CS,150,102,12345,1
GB00B1VWPC84,CITI,CS,151,102,12345,1
DE0001141745,DB,CITI,152,102,12345,1
IT0005188120 ,DB,CS,153,102,12345,1
IT0005188120 ,BAML,CS,154,101,12345,1
GB00B1VWPC84,BAML,CITI,155,101,12345,1
DE0001141745,DB,BAML,156,101,12345,1
IT0005188120 ,CITI,DB,157,101,12345,1
IT0005188120 ,CITI,BAML,158,101,12345,1
GB00B1VWPC84,CITI,CS,131,102,12345,1
DE0001141745,DB,BAML,36,101,12345,1
DE0001141745,DB,BAML,160,100,12345,1
GB00B1VWPC84,DB,CS,161,107,12345,1
DE0001141745,CITI,CS,162,102,12345,1
IT0005188120 ,DB,CITI,163,101,12345,1
GB00B1VWPC84,CS,DB,164,107,12345,1
DE0001141745,CITI,CS,165,102,12345,1
IT0005188120 ,DB,CITI,166,101,12345,1
GB00B1VWPC84,DB,CS,167,107,12345,1
DE0001141745,BAML,CITI,168,102,12345,1
IT0005188120 ,CS,DB,169,101,12345,1
IT0005188120 ,DB,CS,170,102,12345,1
GB00B1VWPC84,CITI,CS,171,102,12345,1
DE0001141745,DB,CITI,172,102,12345,1
IT0005188120 ,DB,CS,173,102,12345,1
IT0005188120 ,BAML,CS,174,101,12345,1
GB00B1VWPC84,CITI,CS,191,102,12345,1
IT0005188120 ,CITI,BAML,178,101,12345,1
GB00B1VWPC84,DB,CS,179,101,12345,1
DE0001141745,DB,BAML,180,100,12345,1
GB00B1VWPC84,DB,CS,181,107,12345,1
DE0001141745,DB,CITI,192,102,12345,1
IT0005188120 ,DB,CS,193,102,12345,1
IT0005188120 ,BAML,CS,194,101,12345,1
GB00B1VWPC84,BAML,CITI,195,101,12345,1
DE0001141745,DB,BAML,196,101,12345,1
DE0001141745,DB,BAML,176,101,12345,1
IT0005188120 ,CITI,DB,177,101,12345,1
DE0001141745,CITI,CS,182,102,12345,1
IT0005188120 ,DB,CITI,186,101,12345,1
GB00B1VWPC84,DB,CS,187,107,12345,1
DE0001141745,BAML,CITI,188,102,12345,1
IT0005188120 ,CS,DB,189,101,12345,1
IT0005188120 ,CITI,DB,197,101,12345,1
IT0005188120 ,CITI,BAML,198,101,12345,1
GB00B1VWPC84,DB,CS,199,101,12345,1
DE0001141745,DB,BAML,200,100,12345,1
GB00B1VWPC84,CS,DB,184,107,12345,1
DE0001141745,CITI,CS,185,102,12345,1
IT0005188120 ,DB,CS,190,102,12345,1
IT0005188120 ,DB,CITI,183,101,12345,1
