Trade_id,Trade Date,Trade Time,Book,Instrument,Buyer,Seller,Amount (MM),Bond Price,Settlement Date,Settlement Amount,Settlement Currency,Date Edit,Business Day of Edit,Account Edited,Edit Reason,Version Number,Block offset
trade_1,29/09/2016,10:45,ABC1,GB00B1VWPC84,DB,CS,1,107.04,03/10/2016,1070.4,GBP,,,,,,1
trade_2,29/09/2016,11:03,ABC1,DE0001141745,CITI,CS,2,102.5,03/10/2016,512.5,EUR,,,,,,2
trade_3,26/09/2016,15:02,ABC1,IT0005188120,DB,CITI,3,101.59,28/09/2016,1219.08,EUR,,,,,,3
trade_4,26/09/2016,10:45,ABC1,GB00B1VWPC84,CS,DB,4,107.24,28/09/2016,857.92,GBP,,,,,,4
trade_5,26/09/2016,11:03,ABC1,DE0001141745,CITI,CS,5,102.55,28/09/2016,205.1,EUR,,,,,,5
trade_6,26/09/2016,15:02,EFG3,IT0005188120,DB,CITI,6,101.69,28/09/2016,1525.35,EUR,,,,,,6
trade_7,29/09/2016,10:45,EFG3,GB00B1VWPC84,DB,CS,7,107.14,28/09/2016,964.26,GBP,,,,,,7
trade_8,29/09/2016,11:03,EFG3,DE0001141745,BAML,CITI,8,102.85,28/09/2016,308.55,EUR,,,,,,8
trade_9,26/09/2016,15:02,XYZ2,IT0005188120,CS,DB,9,101.159,28/09/2016,202.318,EUR,,,,,,9
trade_10,26/09/2016,10:45,HIJ4,IT0005188120,DB,DB,10,102.5912,27/09/2016,820.7296,GBP,,,,,,10
trade_11,29/09/2016,11:03,EFG3,GB00B1VWPC84,CITI,CS,11,102.429,30/09/2016,204.858,GBP,,,,,,11
trade_12,29/09/2016,15:02,ABC1,DE0001141745,DB,CITI,12,102.2668,30/09/2016,1534.002,EUR,,,,,,12
trade_13,26/09/2016,10:45,ABC1,IT0005188120,DB,DB,13,102.1046,27/09/2016,918.9414,EUR,,,,,,13
trade_14,26/09/2016,11:03,EFG3,IT0005188120,BAML,CS,14,101.9424,27/09/2016,305.8272,GBP,,,,,,14
trade_15,29/09/2016,15:02,ABC1,GB00B1VWPC84,BAML,CITI,15,101.7802,30/09/2016,661.5713,EUR,,,,,,15
trade_16,29/09/2016,10:45,EFG3,DE0001141745,DB,BAML,16,101.618,30/09/2016,630.0316,EUR,,,,,,16
trade_17,26/09/2016,11:03,ABC1,IT0005188120,CITI,DB,17,101.4558,27/09/2016,598.58922,EUR,,,,,,17
trade_18,26/09/2016,15:02,EFG3,IT0005188120,CITI,BAML,18,101.2936,27/09/2016,567.24416,EUR,,,,,,18
trade_19,29/09/2016,10:45,ABC1,GB00B1VWPC84,DB,CS,19,101.1314,30/09/2016,535.99642,EUR,,,,,,19
trade_20,29/09/2016,11:03,ABC1,DE0001141745,DB,BAML,20,100.9692,30/09/2016,504.846,EUR,,,,,,20
trade_21,29/09/2016,10:45,ABC1,GB00B1VWPC84,DB,CS,21,107.04,03/10/2016,1070.4,GBP,,,,,,21
trade_22,29/09/2016,11:03,ABC1,DE0001141745,CITI,CS,22,102.5,03/10/2016,512.5,EUR,,,,,,22
trade_23,26/09/2016,15:02,ABC1,IT0005188120,DB,CITI,23,101.59,28/09/2016,1219.08,EUR,,,,,,23
trade_24,26/09/2016,10:45,ABC1,GB00B1VWPC84,CS,DB,24,107.24,28/09/2016,857.92,GBP,,,,,,24
